# 中日漢字大不同   格式： 漢字 | 日文讀音 | 日文意思 | 台灣人常誤解 | 例句 | 例句假名 | 例句中譯
# 收錄同一漢字在中日文語義落差大、台灣人容易看錯的詞。編輯後執行 python scripts/build_data.py
# 新增請加在檔案末端。

床 | ゆか | 地板 | 誤以為是「睡覺的床」。日文的床是「ベッド」，「布団（ふとん）」是鋪在地上的被褥 | 靴を脱いで床に上がってください。 | くつをぬいでゆかにあがってください。 | 請脫鞋踩上地板。
手紙 | てがみ | 信、書信 | 誤以為是「衛生紙」。衛生紙日文是「トイレットペーパー」，面紙是「ティッシュ」 | 祖母に手紙を書きました。 | そぼにてがみをかきました。 | 我寫了封信給奶奶。
勉強 | べんきょう | 學習、唸書；（關西口語）算便宜一點 | 誤以為是「勉強、不情願」。中文「勉強」日文用「無理に」 | 毎日二時間日本語を勉強しています。 | まいにちにじかんにほんごをべんきょうしています。 | 我每天唸兩小時日語。
汽車 | きしゃ | 蒸汽火車（現多泛指火車） | 誤以為是「汽車、轎車」。汽車日文是「車（くるま）」「自動車」 | 昔はこの町にも汽車が通っていた。 | むかしはこのまちにもきしゃがとおっていた。 | 從前這個鎮也有火車經過。
丈夫 | じょうぶ | 結實、堅固、健康 | 誤以為是「丈夫、老公」。老公日文是「夫（おっと）」「主人」 | このかばんは丈夫で長持ちします。 | このかばんはじょうぶでながもちします。 | 這個包很耐用。
大丈夫 | だいじょうぶ | 沒問題、不要緊；（婉拒）不用了 | 以為只有「沒問題」一個意思，店員問要不要袋子時回「大丈夫です」其實是婉拒 | 「袋いりますか？」「大丈夫です。」 | 「ふくろいりますか？」「だいじょうぶです。」 | 「要袋子嗎？」「不用了。」
大家 | おおや | 房東 | 誤以為是「大家、大夥兒」。中文「大家」日文用「みんな」「皆さん」 | 大家さんに家賃を払いました。 | おおやさんにやちんをはらいました。 | 我付房租給房東了。
切手 | きって | 郵票 | 望文生義以為和「切、割」有關 | 郵便局で八十円切手を買います。 | ゆうびんきょくではちじゅうえんきってをかいます。 | 在郵局買八十日圓的郵票。
人参 | にんじん | 紅蘿蔔 | 誤以為是「人參、人蔘」。人蔘日文是「朝鮮人参（ちょうせんにんじん）」「高麗人参」 | カレーに人参をたくさん入れます。 | カレーににんじんをたくさんいれます。 | 咖哩裡放很多紅蘿蔔。
迷惑 | めいわく | 困擾、麻煩（造成別人不便） | 誤以為是「迷惑、誘惑」。誘惑日文是「誘惑（ゆうわく）」 | 大声で話すと周りの迷惑になります。 | おおごえではなすとまわりのめいわくになります。 | 大聲說話會造成周圍的困擾。
階段 | かいだん | 樓梯 | 誤以為是「階段、時期」。中文「階段」日文用「段階（だんかい）」 | エレベーターが混んでいたので階段を使いました。 | エレベーターがこんでいたのでかいだんをつかいました。 | 電梯很擠所以走樓梯。
無理 | むり | 勉強、辦不到、太勉強身體 | 誤以為是「無理取鬧、沒道理」 | 熱があるなら無理しないでください。 | ねつがあるならむりしないでください。 | 發燒的話別太勉強。
心中 | しんじゅう | 殉情、一起尋死 | 誤以為是「心中、內心」。內心日文是「心の中（こころのなか）」 | その小説は男女の心中で終わる。 | そのしょうせつはだんじょのしんじゅうでおわる。 | 那部小說以男女殉情作結。
新聞 | しんぶん | 報紙 | 誤以為是「新聞、消息」。新聞日文是「ニュース」 | 毎朝新聞を読んでからコーヒーを飲みます。 | まいあさしんぶんをよんでからコーヒーをのみます。 | 每天早上看完報再喝咖啡。
精進 | しょうじん | 專心致力、精進；素齋（精進料理） | 只知「精進、上進」，不知也指佛教素食料理 | これからも精進いたします。 | これからもしょうじんいたします。 | 今後也會繼續努力精進。
油断 | ゆだん | 大意、疏忽 | 望文生義以為和「斷油、缺油」有關 | 最後まで油断は禁物です。 | さいごまでゆだんはきんもつです。 | 到最後都不能大意。
娘 | むすめ | 女兒；年輕女子 | 誤以為是「娘、母親」。母親日文是「母（はは）」「お母さん」 | うちの娘は今年二十歳になります。 | うちのむすめはことしはたちになります。 | 我女兒今年滿二十歲。
主人 | しゅじん | （自稱）丈夫；店主、老闆 | 誤以為是「主人、僕人的相對」。寵物飼主日文才用「飼い主」 | 主人は今、出張中です。 | しゅじんはいま、しゅっちょうちゅうです。 | 我先生正在出差。
女房 | にょうぼう | （自稱、口語）老婆、妻子 | 誤以為和「房間、丫鬟」有關 | 女房に相談してから決めます。 | にょうぼうにそうだんしてからきめます。 | 我和老婆商量後再決定。
湯 | ゆ | 熱水、洗澡水（澡堂寫「ゆ」） | 誤以為是「湯、羹湯」。喝的湯日文是「スープ」「汁（しる）」 | お湯が沸いたらお茶を入れます。 | おゆがわいたらおちゃをいれます。 | 熱水滾了就泡茶。
汽水 | きすい | （地理）淡海水交界的半鹹水 | 誤以為是「汽水、碳酸飲料」。汽水日文是「炭酸飲料」「ソーダ」「サイダー」 | 河口付近は汽水域と呼ばれる。 | かこうふきんはきすいいきとよばれる。 | 河口一帶稱為半鹹水域。
看病 | かんびょう | 照顧病人 | 誤以為是「看病、去看醫生」。看醫生日文是「病院に行く」「医者に診てもらう」 | 母の看病で会社を一週間休みました。 | ははのかんびょうでかいしゃをいっしゅうかんやすみました。 | 為了照顧媽媽向公司請了一週假。
